City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Benguela,0,AO,18-06-2020,78,-12.58,13.41,71.44,4.16
Burnie,100,AU,18-06-2020,89,-41.07,145.92,50.0,1.01
Kruisfontein,0,ZA,18-06-2020,43,-34.0,24.73,57.58,6.91
Gambēla,100,ET,18-06-2020,93,8.25,34.58,70.39,1.16
Saint Paul Harbor,90,US,18-06-2020,81,57.79,-152.41,51.8,9.17
Muros,0,ES,18-06-2020,78,42.78,-9.06,59.0,1.99
Izhma,41,RU,18-06-2020,62,65.01,53.91,43.65,5.75
Vaini,20,TO,18-06-2020,73,-21.2,-175.2,73.4,11.41
Provideniya,2,RU,18-06-2020,62,64.38,-173.3,59.0,4.47
Wattegama,59,LK,18-06-2020,76,6.8,81.48,77.88,4.61
Klyuchi,100,RU,18-06-2020,86,52.27,79.17,55.78,7.0
East London,0,ZA,18-06-2020,65,-33.02,27.91,63.72,15.52
Darien,20,US,18-06-2020,25,41.75,-87.97,90.0,11.41
Sechura,0,PE,18-06-2020,59,-5.56,-80.82,74.66,17.0
Pisco,75,PE,18-06-2020,77,-13.7,-76.22,66.2,12.75
Baghdad,0,IQ,18-06-2020,18,33.34,44.4,89.6,9.17
Khatanga,55,RU,18-06-2020,57,71.97,102.5,52.2,12.88
Sitka,90,US,18-06-2020,93,57.05,-135.33,53.6,5.82
Udala,75,ES,18-06-2020,87,43.08,-2.51,54.0,5.82
Changying,100,CN,18-06-2020,92,52.87,123.32,52.72,7.07
Mar del Plata,75,AR,18-06-2020,76,-38.0,-57.56,57.2,11.41
Hithadhoo,88,MV,18-06-2020,75,-0.6,73.08,84.49,8.93
Mount Isa,0,AU,18-06-2020,82,-20.73,139.5,60.8,12.24
Basmat,100,IN,18-06-2020,76,19.32,77.17,79.45,14.85
Tura,100,IN,18-06-2020,99,25.52,90.22,74.28,4.03
Maryville,75,US,18-06-2020,53,35.76,-83.97,80.01,8.05
Samarai,43,PG,18-06-2020,83,-10.62,150.67,79.21,15.3
Ilulissat,90,GL,18-06-2020,64,69.22,-51.1,33.8,5.82
Naze,100,JP,18-06-2020,100,28.37,129.48,78.8,11.41
Montignoso,20,IT,18-06-2020,88,44.02,10.17,66.0,2.24
Hasaki,75,JP,18-06-2020,100,35.73,140.83,64.0,6.93
Cockburn Town,40,TC,18-06-2020,66,21.46,-71.14,86.0,13.87
Acapulco de Juárez,5,MX,18-06-2020,66,16.86,-99.89,87.8,10.29
Bengkulu,98,ID,18-06-2020,88,-3.8,102.27,75.72,4.54
Kipushi,0,CD,18-06-2020,73,-11.77,27.23,50.5,4.59
Harper,100,LR,18-06-2020,78,4.38,-7.72,77.99,6.17
Faanui,100,PF,18-06-2020,78,-16.48,-151.75,79.9,2.19
Erenhot,0,CN,18-06-2020,53,43.65,111.98,67.59,8.12
Tigil',98,RU,18-06-2020,87,57.8,158.67,52.16,3.78
Philadelphia,75,US,18-06-2020,57,39.95,-75.16,84.0,8.05
Iqaluit,75,CA,18-06-2020,60,63.75,-68.51,42.8,18.34
Baoding,0,CN,18-06-2020,74,38.85,115.49,67.64,1.45
Jasper,20,US,18-06-2020,43,37.2,-94.35,90.0,13.87
Guhāgar,96,IN,18-06-2020,85,17.48,73.19,80.24,10.71
Saint George,1,US,18-06-2020,11,37.1,-113.58,89.01,5.82
Torbay,90,CA,18-06-2020,64,47.67,-52.73,70.0,10.29
Saskylakh,4,RU,18-06-2020,56,71.92,114.08,66.87,6.62
Bluff,0,NZ,18-06-2020,83,-46.6,168.33,39.0,3.0
Coyhaique,75,CL,18-06-2020,61,-45.58,-72.07,50.0,3.76
Vao,86,NC,18-06-2020,78,-22.67,167.48,71.85,14.27
Beringovskiy,0,RU,18-06-2020,53,63.05,179.32,50.43,1.66
Arrifes,75,PT,18-06-2020,77,37.77,-25.7,64.4,8.05
Alofi,40,NU,18-06-2020,69,-19.06,-169.92,75.2,19.46
Ambilobe,43,MG,18-06-2020,70,-13.2,49.05,69.94,2.15
São Gabriel da Cachoeira,40,BR,18-06-2020,94,-0.13,-67.09,77.0,2.24
Mehamn,75,NO,18-06-2020,87,71.04,27.85,42.8,17.22
Apastovo,0,RU,18-06-2020,51,55.2,48.51,59.0,8.95
Caravelas,7,BR,18-06-2020,91,-17.71,-39.25,71.96,7.85
Majene,63,ID,18-06-2020,85,-3.54,118.97,78.21,11.81
Châtellerault,55,FR,18-06-2020,87,46.8,0.53,57.99,8.05
Kharp,17,RU,18-06-2020,91,66.8,65.81,33.37,7.2
Tiksi,100,RU,18-06-2020,74,71.69,128.87,52.18,4.45
Cherskiy,0,RU,18-06-2020,33,68.75,161.3,71.85,7.99
Khovd,100,MN,18-06-2020,35,48.01,91.64,60.8,7.74
Ojinaga,1,MX,18-06-2020,16,29.57,-104.42,100.0,3.36
New Norfolk,100,AU,18-06-2020,85,-42.78,147.06,39.99,2.53
Veinticinco de Mayo,100,AR,18-06-2020,63,-35.43,-60.17,57.0,1.01
Anju,90,KP,18-06-2020,89,39.62,125.66,65.23,1.74
Shimoda,100,JP,18-06-2020,95,34.67,138.95,59.0,1.01
Ekibastuz,100,KZ,18-06-2020,68,51.67,75.37,54.05,11.12
Lipari,4,IT,18-06-2020,19,38.47,14.95,72.0,3.87
Tabas,0,IR,18-06-2020,11,33.6,56.92,95.0,4.7
Sargūr,100,IN,18-06-2020,85,11.98,76.42,70.68,8.48
Havelock,33,US,18-06-2020,67,34.88,-76.9,79.0,3.0
Codrington,88,AU,18-06-2020,73,-38.27,141.97,51.66,17.05
Tazovsky,0,RU,18-06-2020,79,67.47,78.7,36.52,9.82
Klaksvík,100,FO,18-06-2020,93,62.23,-6.59,50.0,5.82
Sai Buri,99,TH,18-06-2020,83,6.7,101.62,79.3,6.29
George Town,20,MY,18-06-2020,88,5.41,100.34,82.4,5.82
Pevek,9,RU,18-06-2020,71,69.7,170.31,40.95,9.31
Geraldton,0,AU,18-06-2020,87,-28.77,114.6,50.0,4.7
Koulamoutou,95,GA,18-06-2020,89,-1.13,12.47,73.0,2.13
Sakaiminato,75,JP,18-06-2020,88,35.55,133.23,68.0,16.11
Changli,14,CN,18-06-2020,65,39.7,119.15,68.4,5.5
Chandler,1,US,18-06-2020,6,33.31,-111.84,100.99,11.41
Kushmurun,0,KZ,18-06-2020,73,52.45,64.63,50.04,8.97
Luanda,75,AO,18-06-2020,88,-8.84,13.23,73.4,4.7
Taoudenni,4,ML,18-06-2020,10,22.68,-3.98,103.75,10.96
Bowen,75,AU,18-06-2020,88,-20.02,148.23,68.0,10.29
Barentu,95,ER,18-06-2020,51,15.11,37.59,76.68,9.42
Saint-Philippe,90,RE,18-06-2020,68,-21.36,55.77,69.8,18.34
Killybegs,90,IE,18-06-2020,100,54.63,-8.45,55.4,8.05
Talcahuano,90,CL,18-06-2020,93,-36.72,-73.12,55.4,16.11
Savalou,100,BJ,18-06-2020,92,7.93,1.98,72.32,7.94
Ostrovnoy,100,RU,18-06-2020,72,68.05,39.51,53.04,11.83
Mogadishu,96,SO,18-06-2020,83,2.04,45.34,78.1,16.67
Vardø,40,NO,18-06-2020,87,70.37,31.11,48.2,1.12
Manali,40,IN,18-06-2020,74,13.17,80.27,87.8,5.82
Sinegor'ye,72,RU,18-06-2020,46,62.08,150.48,66.52,3.83
Linxia Chengguanzhen,100,CN,18-06-2020,56,35.6,103.21,61.79,2.75
Arraial do Cabo,7,BR,18-06-2020,73,-22.97,-42.03,73.4,16.11
Conakry,99,GN,18-06-2020,82,9.54,-13.68,81.7,6.53
Nome,40,US,18-06-2020,76,64.5,-165.41,64.0,14.99
Kālāgarh Project Colony,100,IN,18-06-2020,59,29.5,78.75,83.08,5.68
Bambous Virieux,75,MU,18-06-2020,78,-20.34,57.76,71.6,12.75
Vostok,93,RU,18-06-2020,99,46.49,135.88,47.86,2.01
Katsuura,75,JP,18-06-2020,93,35.13,140.3,66.0,4.7
Kazanka,26,UA,18-06-2020,60,47.85,32.82,69.8,6.71
La Gomera,90,GT,18-06-2020,70,14.08,-91.05,89.6,13.87
Kaeo,1,NZ,18-06-2020,3,-35.1,173.78,50.0,7.2
Tartagal,0,AR,18-06-2020,49,-22.52,-63.8,71.19,2.93
Hervey Bay,8,AU,18-06-2020,94,-25.3,152.85,62.01,15.01
Manokwari,2,ID,18-06-2020,68,-0.87,134.08,79.34,4.21
Cidreira,93,BR,18-06-2020,83,-30.18,-50.21,69.89,8.05
Catuday,10,PH,18-06-2020,80,16.29,119.81,81.32,4.16
Kabinda,7,CD,18-06-2020,53,-6.13,24.48,67.33,4.12
Valdivia,75,CL,18-06-2020,76,-39.81,-73.25,57.2,8.05
Anáhuac,75,MX,18-06-2020,52,27.23,-100.15,91.4,11.41
Sola,46,VU,18-06-2020,76,-13.88,167.55,79.66,19.06
Paternion,100,AT,18-06-2020,95,46.71,13.64,53.01,1.01
Lebu,100,CL,18-06-2020,90,-37.62,-73.65,54.45,15.39
Guerrero Negro,1,MX,18-06-2020,50,27.98,-114.06,73.0,16.51
La Plata,52,AR,18-06-2020,62,-34.92,-57.95,63.0,1.99
Trelew,90,AR,18-06-2020,42,-43.25,-65.31,57.04,14.83
Castro,100,BR,18-06-2020,90,-24.79,-50.01,59.72,4.61
Beyşehir,46,TR,18-06-2020,68,37.68,31.72,59.18,4.16
Dunedin,63,NZ,18-06-2020,77,-45.87,170.5,44.01,14.0
Karratha,0,AU,18-06-2020,55,-20.74,116.85,69.21,4.85
Luganville,75,VU,18-06-2020,78,-15.53,167.17,78.8,3.36
Dolinsk,75,RU,18-06-2020,87,47.35,142.8,46.4,15.66
Ixtapa,5,MX,18-06-2020,45,20.7,-105.2,87.01,13.87
Sīrjān,0,IR,18-06-2020,21,29.45,55.68,78.64,5.57
Coos Bay,1,US,18-06-2020,72,43.37,-124.22,78.01,23.04
Tombouctou,97,ML,18-06-2020,12,20.0,-3.0,101.39,7.36
Mount Gambier,54,AU,18-06-2020,71,-37.83,140.77,51.8,17.22
Omboué,84,GA,18-06-2020,88,-1.57,9.26,72.97,6.76
Port Said,0,EG,18-06-2020,78,31.26,32.28,75.2,14.99
San Cristobal,75,VE,18-06-2020,88,7.77,-72.22,78.8,11.41
Batagay-Alyta,2,RU,18-06-2020,34,67.8,130.41,70.93,0.58
Tibati,100,CM,18-06-2020,95,6.47,12.63,68.5,0.87
Mangai,99,CD,18-06-2020,52,-4.05,19.53,68.14,0.72
Alvarães,40,BR,18-06-2020,70,-3.22,-64.8,87.8,8.05
Verkhnevilyuysk,19,RU,18-06-2020,88,63.45,120.32,56.79,2.89
Padang,98,ID,18-06-2020,77,-0.95,100.35,77.94,3.67
Fortuna,20,US,18-06-2020,72,40.6,-124.16,66.2,11.41
San Quintín,0,MX,18-06-2020,61,30.48,-115.95,67.03,11.43
Charleston,1,US,18-06-2020,74,32.78,-79.93,82.0,9.17
São Raimundo Nonato,5,BR,18-06-2020,49,-9.02,-42.7,78.98,6.42
Mazamari,39,PE,18-06-2020,49,-11.33,-74.53,84.97,1.16
Ischia,0,IT,18-06-2020,59,40.73,13.95,72.0,1.99
Basco,12,PH,18-06-2020,82,20.45,121.97,84.63,16.8
Petauke,19,ZM,18-06-2020,85,-14.24,31.33,55.69,8.14
Kieta,0,PG,18-06-2020,78,-6.22,155.63,80.47,2.48
Lata,0,PT,18-06-2020,82,40.16,-8.33,63.0,3.53
Yangambi,53,CD,18-06-2020,62,0.81,24.43,72.07,1.25
Fort Walton Beach,20,US,18-06-2020,62,30.41,-86.62,86.0,8.05
Kiryat Gat,6,IL,18-06-2020,79,31.61,34.76,75.0,5.73
Itarema,31,BR,18-06-2020,78,-2.92,-39.92,79.48,11.92
Tyubuk,73,RU,18-06-2020,67,56.06,60.94,45.36,3.4
Colares,20,PT,18-06-2020,77,38.8,-9.45,64.0,28.86
Baoqing,5,CN,18-06-2020,92,46.33,132.21,50.77,5.19
Nortelândia,58,BR,18-06-2020,49,-14.45,-56.8,82.85,1.95
Te Anau,17,NZ,18-06-2020,96,-45.42,167.72,31.21,0.89
Raja,100,SS,18-06-2020,92,8.46,25.68,72.01,3.69
Am Timan,94,TD,18-06-2020,75,11.03,20.28,77.65,2.98
Saint-Augustin,100,CA,18-06-2020,95,51.23,-58.65,57.38,3.56
Gravdal,10,NO,18-06-2020,81,68.12,13.5,47.16,19.24
Teya,93,RU,18-06-2020,71,60.38,92.63,53.98,3.33
Atmakūr,100,IN,18-06-2020,71,15.88,78.58,80.92,8.59
Guane,96,CU,18-06-2020,67,22.2,-84.09,85.68,4.94
Litovko,83,RU,18-06-2020,83,49.24,135.17,50.41,4.79
Port Blair,99,IN,18-06-2020,84,11.67,92.75,82.42,12.66
Srednekolymsk,17,RU,18-06-2020,22,67.45,153.68,82.18,2.75
Mahajanga,20,MG,18-06-2020,53,-15.72,46.32,73.4,6.93
Kelvington,100,CA,18-06-2020,93,52.17,-103.53,38.98,13.82
Talnakh,92,RU,18-06-2020,81,69.49,88.4,42.8,13.42
Celestún,63,MX,18-06-2020,63,20.87,-90.4,86.02,7.0
Clyde River,90,CA,18-06-2020,86,70.47,-68.59,33.8,10.29
Wukari,100,NG,18-06-2020,89,7.85,9.78,72.55,1.63
Pudozh,69,RU,18-06-2020,84,61.81,36.53,63.7,6.85
Maseru,0,LS,18-06-2020,79,-29.32,27.48,37.08,0.83
Gornoye Loo,75,RU,18-06-2020,94,43.71,39.6,71.6,6.71
Saint-Pierre,90,RE,18-06-2020,68,-21.34,55.48,69.8,18.34
Krasnyy Luch,100,UA,18-06-2020,60,48.14,38.94,66.69,7.27
Asău,32,RO,18-06-2020,96,46.43,26.4,62.01,3.91
Mikhaylovsk,29,RU,18-06-2020,93,45.13,42.03,60.8,6.71
Presidente Venceslau,7,BR,18-06-2020,39,-21.88,-51.84,80.6,6.93
Bousso,68,TD,18-06-2020,58,10.48,16.71,82.38,2.1
Nanortalik,95,GL,18-06-2020,80,60.14,-45.24,40.05,6.35
San Patricio,5,MX,18-06-2020,74,19.22,-104.7,86.0,11.41
Pustoshka,0,RU,18-06-2020,86,56.34,29.37,66.72,4.38
Souillac,75,MU,18-06-2020,78,-20.52,57.52,71.6,12.75
Hong Kong,59,HK,18-06-2020,74,22.29,114.16,84.0,5.01
Cabo San Lucas,20,MX,18-06-2020,33,22.89,-109.91,91.4,6.93
Fairhaven,1,US,18-06-2020,65,41.64,-70.9,78.8,14.99
Dolisie,99,CG,18-06-2020,91,-4.2,12.67,69.82,2.75
Ganj Dundwāra,2,IN,18-06-2020,50,27.73,78.95,89.73,9.37
Kulhudhuffushi,75,MV,18-06-2020,77,6.62,73.07,84.25,10.8
Novopokrovka,89,UA,18-06-2020,50,49.84,36.55,75.2,6.71
Nouakchott,1,MR,18-06-2020,62,18.09,-15.98,84.2,19.46
Charlestown,30,AU,18-06-2020,96,-32.95,151.67,52.0,3.29
Touros,75,BR,18-06-2020,94,-5.2,-35.46,75.2,9.17
Puerto Escondido,90,MX,18-06-2020,70,15.85,-97.07,89.6,11.41
Yerbogachën,93,RU,18-06-2020,62,61.28,108.01,55.42,1.63
Chebarkul',68,RU,18-06-2020,72,54.97,60.36,44.28,2.35
Santa Cruz,0,MA,18-06-2020,73,30.42,-9.6,69.8,19.46
Tuatapere,19,NZ,18-06-2020,83,-46.13,167.68,39.0,3.0
Diamantino,74,BR,18-06-2020,52,-14.41,-56.45,81.86,3.47
Laguna,1,US,18-06-2020,13,38.42,-121.42,95.0,10.29
Belaya Gora,19,RU,18-06-2020,28,68.53,146.42,82.87,5.23
Vanavara,0,RU,18-06-2020,77,60.34,102.28,49.57,2.68
North Bend,1,US,18-06-2020,72,43.41,-124.22,78.01,23.04
Bocas del Toro,100,PA,18-06-2020,78,9.33,-82.25,69.01,1.01
Dingle,100,PH,18-06-2020,93,11.0,122.67,75.36,7.56
Salalah,20,OM,18-06-2020,94,17.02,54.09,82.4,3.36
De Aar,0,ZA,18-06-2020,55,-30.65,24.01,46.56,7.85
Coquimbo,100,CL,18-06-2020,67,-29.95,-71.34,60.8,5.82
Zhigansk,22,RU,18-06-2020,63,66.77,123.37,64.15,6.26
Leningradskiy,73,RU,18-06-2020,60,69.38,178.42,44.64,5.95
Azovo,0,RU,18-06-2020,70,54.7,73.02,46.4,4.47
Khani,90,GE,18-06-2020,94,41.96,42.96,68.0,2.24
Kudahuvadhoo,96,MV,18-06-2020,71,2.67,72.89,84.33,3.4
Bella Union,29,UY,18-06-2020,85,-30.28,-57.6,60.13,6.38
Baykit,30,RU,18-06-2020,64,61.67,96.37,53.94,3.36
Hurghada,0,EG,18-06-2020,24,27.26,33.81,89.6,24.16
Raudeberg,27,NO,18-06-2020,90,61.99,5.14,62.01,12.21
Constitución,100,CL,18-06-2020,88,-35.33,-72.42,55.4,24.54
Saint-Joseph,90,RE,18-06-2020,68,-21.37,55.62,69.8,18.34
Bambanglipuro,28,ID,18-06-2020,86,-7.95,110.28,77.07,10.74
Jaitāran,10,IN,18-06-2020,48,26.2,73.94,91.81,20.92
Vigrestad,40,NO,18-06-2020,82,58.57,5.7,66.0,5.82
Guéret,75,FR,18-06-2020,87,46.17,1.87,55.4,4.7
Nouadhibou,0,MR,18-06-2020,78,20.93,-17.03,71.6,17.22
Usinsk,47,RU,18-06-2020,75,65.99,57.53,38.28,11.7
General Pico,55,AR,18-06-2020,45,-35.66,-63.76,54.39,8.16
Pacific Grove,1,US,18-06-2020,38,36.62,-121.92,78.01,6.93
Yar-Sale,36,RU,18-06-2020,79,66.83,70.83,36.95,10.71
Pathein,100,MM,18-06-2020,93,16.78,94.73,77.36,6.29
San Bernardino,40,US,18-06-2020,50,34.11,-117.29,80.01,5.82
Shitkino,41,RU,18-06-2020,59,56.37,98.35,52.03,6.4
Alta Floresta,20,BR,18-06-2020,38,-9.88,-56.09,91.4,8.05
Quatre Cocos,75,MU,18-06-2020,78,-20.21,57.76,71.6,12.75
San Andrés,40,CO,18-06-2020,66,12.58,-81.7,87.8,10.29
Saint-Leu,90,RE,18-06-2020,68,-21.15,55.28,69.8,18.34
High Level,40,CA,18-06-2020,53,58.52,-117.14,73.4,10.29
Shenjiamen,100,CN,18-06-2020,94,29.96,122.3,70.97,13.4
Manatí,40,PR,18-06-2020,70,18.43,-66.49,86.0,19.46
Severo-Yeniseyskiy,86,RU,18-06-2020,75,60.37,93.04,50.95,4.56
Hobyo,79,SO,18-06-2020,73,5.35,48.53,79.47,27.49
La Palma,90,US,18-06-2020,56,33.85,-118.05,72.0,5.82
Farafangana,25,MG,18-06-2020,85,-22.82,47.83,66.97,8.25
Coolum Beach,22,AU,18-06-2020,88,-26.53,153.1,59.0,4.0
Araouane,81,ML,18-06-2020,12,18.9,-3.53,101.46,9.84
Nizwá,14,OM,18-06-2020,46,22.93,57.53,88.3,2.64
Cayenne,60,GF,18-06-2020,88,4.93,-52.33,80.6,4.7
Poum,99,NC,18-06-2020,76,-20.23,164.02,74.12,12.91
Amahai,61,ID,18-06-2020,97,-3.33,128.92,82.0,1.01
Tornio,75,FI,18-06-2020,93,65.85,24.15,62.6,8.05
Bariloche,75,AR,18-06-2020,75,-41.15,-71.31,42.8,14.99
Afuá,64,BR,18-06-2020,89,-0.16,-50.39,78.44,6.13
Ucluelet,75,CA,18-06-2020,77,48.93,-125.55,64.4,10.29
Abéché,52,TD,18-06-2020,57,13.83,20.83,79.56,14.72
Korla,31,CN,18-06-2020,47,41.76,86.15,82.99,1.01
Orán,35,AR,18-06-2020,37,-23.13,-64.33,80.01,4.34
Dhadar,77,IN,18-06-2020,35,28.33,75.06,97.14,18.28
Dudinka,80,RU,18-06-2020,81,69.41,86.18,42.8,13.42
Severo-Kuril'sk,82,RU,18-06-2020,85,50.68,156.12,42.67,7.65
Escanaba,20,US,18-06-2020,64,45.75,-87.06,82.99,9.17
Barinas,100,VE,18-06-2020,94,8.62,-70.21,74.03,4.18
Gubkinskiy,23,RU,18-06-2020,74,64.43,76.5,38.37,13.18
Nanjing,90,CN,18-06-2020,100,32.06,118.78,71.01,2.24
Acaraú,30,BR,18-06-2020,78,-2.89,-40.12,79.75,11.83
São Filipe,0,CV,18-06-2020,61,14.9,-24.5,80.85,12.39
Marand,0,IR,18-06-2020,38,38.43,45.77,75.2,6.93
Beecher,40,US,18-06-2020,33,43.09,-83.69,87.8,5.59
Kupang,99,ID,18-06-2020,84,-10.17,123.58,75.94,12.3
Kuching,40,MY,18-06-2020,94,1.55,110.33,77.0,3.47
Airai,73,TL,18-06-2020,100,-8.93,125.41,58.73,4.52
La Asuncion,98,VE,18-06-2020,66,11.03,-63.86,86.0,18.34
Lüderitz,0,NA,18-06-2020,23,-26.65,15.16,73.4,9.17
Chuguyevka,40,RU,18-06-2020,92,44.17,133.86,54.3,1.74
Waingapu,3,ID,18-06-2020,84,-9.66,120.26,75.29,11.56
Aljezur,0,PT,18-06-2020,61,37.32,-8.8,68.0,16.33
Hokitika,93,NZ,18-06-2020,63,-42.72,170.97,49.53,7.47
Yulara,0,AU,18-06-2020,48,-25.24,130.99,41.0,3.36
Grand Gaube,99,MU,18-06-2020,76,-20.01,57.66,70.0,5.99
Banda Aceh,58,ID,18-06-2020,75,5.56,95.32,79.9,6.4
Mgandu,2,TZ,18-06-2020,69,-5.95,34.13,60.55,8.41
Salinópolis,89,BR,18-06-2020,85,-0.61,-47.36,79.75,11.25
